miRNA_signature	Cancer_type	Expression	classification	score_details	Classification	Score_Details
hsa-miR-101-5p	THYM	Unchanged	NS	character(0), numeric(0), numeric(0), character(0)	pró-tumoral	Anti-tumoral: 0 (  ) Pró-tumoral: 0.492040742725991 ( Cancer associated fibroblast_XCELL(0.492040742725991) ) Dualista: 0 (  )
hsa-miR-103a-2-5p	BRCA	Overexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0.229605921867315 ( T cell CD4+ Th1_XCELL(0.229605921867315) ) Pró-tumoral: -0.422082181788879 ( Cancer associated fibroblast_XCELL(-0.229134949457314), Endothelial cell_XCELL(-0.192947232331565) ) Dualista: -0.263038031530277 ( T cell CD4+ Th2_XCELL(0.283333021710381), Hematopoietic stem cell_XCELL(-0.263877147904759), Mast cell activated_CIBERSORT(-0.282493905335899) )
hsa-miR-103a-2-5p	LUSC	Overexpression	NS	character(0), numeric(0), numeric(0), character(0)	dualista	Anti-tumoral: 0 (  ) Pró-tumoral: 0 (  ) Dualista: 0 (  )
hsa-miR-103a-3p	BLCA	Overexpression	Variável	Macrophage M1_CIBERSORT, -0.281251603277908, 1, Variable	dualista	Anti-tumoral: -0.281251603277908 ( Macrophage M1_CIBERSORT(-0.281251603277908) ) Pró-tumoral: -0.447234089109542 ( Cancer associated fibroblast_XCELL(-0.447234089109542) ) Dualista: 0 (  )
hsa-miR-103a-3p	ESCA	Overexpression			NS	No data
hsa-miR-103a-3p	PRAD	Overexpression	NS	character(0), numeric(0), numeric(0), character(0)	dualista	Anti-tumoral: 0 (  ) Pró-tumoral: 0 (  ) Dualista: 0 (  )
hsa-miR-105-3p	KIRC	Unchanged			NS	No data
hsa-miR-105-5p	BRCA	Overexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0.199099364192661 ( T cell CD4+ memory activated_CIBERSORT(0.199099364192661) ) Pró-tumoral: 0 (  ) Dualista: 0.051536478590512 ( Hematopoietic stem cell_XCELL(-0.210141392681745), Mast cell activated_CIBERSORT(-0.302313592577976), T cell CD4+ Th2_XCELL(0.384830874841071), Macrophage M0_CIBERSORT(0.179160589009162) )
hsa-miR-105-5p	LGG	Unchanged	NS	character(0), numeric(0), numeric(0), character(0)	dualista	Anti-tumoral: -0.41123044705809 ( Common lymphoid progenitor_XCELL(-0.41123044705809) ) Pró-tumoral: -0.259566788283717 ( Cancer associated fibroblast_XCELL(-0.259566788283717) ) Dualista: 0.313433921350197 ( B cell plasma_CIBERSORT(0.313433921350197) )
hsa-miR-105-5p	LIHC	Overexpression	NS	character(0), numeric(0), numeric(0), character(0)	dualista	Anti-tumoral: 0 (  ) Pró-tumoral: 0 (  ) Dualista: -0.039599287371651 ( T cell CD4+ Th2_XCELL(0.307880189100854), Hematopoietic stem cell_XCELL(-0.347479476472505) )
hsa-miR-105-5p	LUAD	Overexpression	NS	character(0), numeric(0), numeric(0), character(0)	dualista	Anti-tumoral: 0 (  ) Pró-tumoral: 0 (  ) Dualista: 0.031968069318508 ( Hematopoietic stem cell_XCELL(-0.247082867041746), T cell CD4+ Th2_XCELL(0.263066901701), Hematopoietic stem cell_XCELL(-0.247082867041746), T cell CD4+ Th2_XCELL(0.263066901701) )
hsa-miR-106a-5p	COAD	Overexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0.349116038258619 ( T cell CD4+ Th1_XCELL(0.349116038258619) ) Pró-tumoral: 0 (  ) Dualista: 0 (  )
hsa-miR-106b-3p	BLCA	Overexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: -0.282541666639042 ( Granulocyte-monocyte progenitor_XCELL(-0.282541666639042) ) Pró-tumoral: -0.399871467475553 ( Cancer associated fibroblast_XCELL(-0.399871467475553) ) Dualista: -0.636502821172438 ( Hematopoietic stem cell_XCELL(-0.366056987258158), Mast cell activated_CIBERSORT(-0.27044583391428) )
hsa-miR-106b-3p	HNSC	Overexpression	NS	character(0), numeric(0), numeric(0), character(0)	dualista	Anti-tumoral: 0 (  ) Pró-tumoral: 0 (  ) Dualista: 0.250624849576067 ( T cell CD4+ Th2_XCELL(0.250624849576067) )
hsa-miR-106b-3p	LAML	Unchanged	NS	character(0), numeric(0), numeric(0), character(0)	dualista	Anti-tumoral: 0 (  ) Pró-tumoral: 0 (  ) Dualista: 0.432838999301652 ( T cell CD4+ Th2_XCELL(0.432838999301652) )
hsa-miR-106b-3p	PRAD	Overexpression	NS	character(0), numeric(0), numeric(0), character(0)	dualista	Anti-tumoral: 0 (  ) Pró-tumoral: 0 (  ) Dualista: 0 (  )
hsa-miR-106b-3p	THYM	Unchanged	Variável	"c(""""Macrophage M2_CIBERSORT"""", """"T cell regulatory (Tregs)_CIBERSORT"""", """"NK cell activated_CIBERSORT"""", """"Macrophage M1_CIBERSORT""""), c(-0.670434939074973, 0.578616576603419, -0.586481226671984, -0.649898336682557), c(1, 1, 3, 1), c(""""Cold"""", """"Variable"""", """"Variable"""", """"Cold"""")"	dualista	Anti-tumoral: 0.594525494330838 ( T cell CD4+ Th1_XCELL(0.532137795687794), Common lymphoid progenitor_XCELL(0.729750952251659), Granulocyte-monocyte progenitor_XCELL(0.569016309745926), NK cell activated_CIBERSORT(-0.586481226671984), Macrophage M1_CIBERSORT(-0.649898336682557) ) Pró-tumoral: -0.0918183624715539 ( Macrophage M2_CIBERSORT(-0.670434939074973), T cell regulatory (Tregs)_CIBERSORT(0.578616576603419) ) Dualista: 1.90433076895562 ( T cell CD4+ naive_CIBERSORT(0.613653589096273), T cell CD4+ Th2_XCELL(0.694691038287025), T cell follicular helper_CIBERSORT(0.595986141572322) )
hsa-miR-106b-5p	LIHC	Overexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0.001402913434641 ( Granulocyte-monocyte progenitor_XCELL(-0.301109498784072), T cell CD4+ Th1_XCELL(0.302512412218713) ) Pró-tumoral: -0.428458765014514 ( Endothelial cell_XCELL(-0.428458765014514) ) Dualista: -0.051617656880636 ( T cell CD4+ Th2_XCELL(0.348068350789334), Hematopoietic stem cell_XCELL(-0.39968600766997) )
hsa-miR-106b-5p	PRAD	Overexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0.00713357348871002 ( T cell CD4+ Th1_XCELL(0.257655629595174), Common lymphoid progenitor_XCELL(-0.250522056106464) ) Pró-tumoral: 0 (  ) Dualista: 0 (  )
hsa-miR-106b-5p	SARC	Unchanged	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0.34089070946833 ( T cell CD4+ Th1_XCELL(0.34089070946833) ) Pró-tumoral: -0.353543520343764 ( Cancer associated fibroblast_XCELL(-0.353543520343764) ) Dualista: -0.335847727562731 ( Mast cell activated_CIBERSORT(-0.335847727562731) )
hsa-miR-107	LIHC	Overexpression	NS	character(0), numeric(0), numeric(0), character(0)	dualista	Anti-tumoral: 0 (  ) Pró-tumoral: 0 (  ) Dualista: 0 (  )
hsa-miR-10a-5p	BRCA	Underexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0.437636942479769 ( T cell CD4+ memory activated_CIBERSORT(-0.171869979242762), T cell CD4+ Th1_XCELL(-0.265766963237007) ) Pró-tumoral: -0.525829268038671 ( Endothelial cell_XCELL(0.223583791016176), Cancer associated fibroblast_XCELL(0.302245477022495) ) Dualista: -0.030592578114295 ( T cell CD4+ Th2_XCELL(-0.306914394560118), Macrophage M0_CIBERSORT(-0.180318996777504), Hematopoietic stem cell_XCELL(0.309349786036512), Mast cell activated_CIBERSORT(0.208476183415405) )
hsa-miR-10a-5p	KICH	Overexpression			NS	No data
hsa-miR-10a-5p	LGG	Unchanged	Quente	Macrophage M1_CIBERSORT, 0.290762381064143, 1, Hot	anti-tumoral	Anti-tumoral: 0.604434711668981 ( Common lymphoid progenitor_XCELL(0.313672330604838), Macrophage M1_CIBERSORT(0.290762381064143) ) Pró-tumoral: 0.245877214454437 ( Endothelial cell_XCELL(0.245877214454437) ) Dualista: -0.2265138563197 ( T cell CD4+ naive_CIBERSORT(-0.264587627744978), Hematopoietic stem cell_XCELL(0.278730419793994), Monocyte_CIBERSORT(-0.240656648368716) )
hsa-miR-10a-5p	LUSC	Underexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0 (  ) Pró-tumoral: -0.285733861781985 ( Cancer associated fibroblast_XCELL(0.285733861781985) ) Dualista: -0.342150270873773 ( Hematopoietic stem cell_XCELL(0.342150270873773) )
hsa-miR-10b-5p	BRCA	Underexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0.326266423365476 ( T cell CD4+ Th1_XCELL(-0.326266423365476) ) Pró-tumoral: -0.839689088203248 ( Cancer associated fibroblast_XCELL(0.445499735955478), Endothelial cell_XCELL(0.39418935224777) ) Dualista: -0.486114058857888 ( T cell CD4+ Th2_XCELL(-0.246532334367664), Mast cell activated_CIBERSORT(0.252417299885299), Macrophage M0_CIBERSORT(-0.216599869119119), B cell naive_CIBERSORT(0.184017352894504), Hematopoietic stem cell_XCELL(0.512811609564868) )
hsa-miR-1185-1-3p	PAAD	Unchanged			NS	No data
hsa-miR-122-5p	KIRC	Overexpression	NS	character(0), numeric(0), numeric(0), character(0)	pró-tumoral	Anti-tumoral: 0 (  ) Pró-tumoral: 0.25966012640098 ( Endothelial cell_XCELL(0.25966012640098) ) Dualista: 0 (  )
hsa-miR-1247-3p	BLCA	Underexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0 (  ) Pró-tumoral: -0.364716006419373 ( Cancer associated fibroblast_XCELL(0.364716006419373) ) Dualista: -0.403257983304073 ( Hematopoietic stem cell_XCELL(0.403257983304073) )
hsa-miR-1247-3p	BRCA	Underexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0.223671391012056 ( T cell CD4+ Th1_XCELL(-0.223671391012056) ) Pró-tumoral: -0.487396450709797 ( Cancer associated fibroblast_XCELL(0.256507548492871), Endothelial cell_XCELL(0.230888902216926) ) Dualista: -0.924606419198453 ( Hematopoietic stem cell_XCELL(0.339507137853094), T cell CD4+ memory resting_CIBERSORT(0.201583428876252), T cell gamma delta_CIBERSORT(0.17311910269282), B cell naive_CIBERSORT(0.210396749776287) )
hsa-miR-1247-5p	PRAD	Unchanged	NS	character(0), numeric(0), numeric(0), character(0)	pró-tumoral	Anti-tumoral: 0 (  ) Pró-tumoral: 0.286481044526929 ( Cancer associated fibroblast_XCELL(0.286481044526929) ) Dualista: 0.258184747034148 ( Hematopoietic stem cell_XCELL(0.258184747034148) )
hsa-miR-1250-5p	PAAD	Underexpression			NS	No data
hsa-miR-1258	BRCA	Underexpression	Variável	"c(""""Macrophage M1_CIBERSORT"""", """"T cell CD8+_CIBERSORT""""), c(0.228441641430016, 0.258892919793196), c(1, 3), c(""""Variable"""", """"Variable"""")"	anti-tumoral	Anti-tumoral: -0.253723176131194 ( Macrophage M1_CIBERSORT(0.228441641430016), T cell CD4+ Th1_XCELL(-0.233611385092018), T cell CD8+_CIBERSORT(0.258892919793196) ) Pró-tumoral: -0.611530580643333 ( Cancer associated fibroblast_XCELL(0.33550046324861), Endothelial cell_XCELL(0.276030117394723) ) Dualista: -0.422957245080268 ( Hematopoietic stem cell_XCELL(0.405005445395624), Macrophage M0_CIBERSORT(-0.176087197347881), T cell CD4+ memory resting_CIBERSORT(0.194038997032525) )
hsa-miR-125a-3p	LGG	Unchanged	NS	character(0), numeric(0), numeric(0), character(0)	dualista	Anti-tumoral: 0 (  ) Pró-tumoral: 0 (  ) Dualista: 0.277050379319556 ( Hematopoietic stem cell_XCELL(0.277050379319556) )
hsa-miR-125a-3p	THYM	Unchanged	NS	character(0), numeric(0), numeric(0), character(0)	dualista	Anti-tumoral: 0 (  ) Pró-tumoral: 0 (  ) Dualista: 0 (  )
hsa-miR-125a-5p	CESC	Unchanged	NS	character(0), numeric(0), numeric(0), character(0)	pró-tumoral	Anti-tumoral: 0 (  ) Pró-tumoral: 0.331419266485213 ( Cancer associated fibroblast_XCELL(0.331419266485213) ) Dualista: 0 (  )
hsa-miR-125a-5p	COAD	Underexpression			NS	No data
hsa-miR-125a-5p	LGG	Unchanged	NS	character(0), numeric(0), numeric(0), character(0)	dualista	Anti-tumoral: -0.241294799831411 ( T cell CD4+ Th1_XCELL(-0.241294799831411) ) Pró-tumoral: 0 (  ) Dualista: 0.605561540759087 ( Hematopoietic stem cell_XCELL(0.30837809514577), Class-switched memory B cell_XCELL(0.297183445613317) )
hsa-miR-125a-5p	LIHC	Underexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0 (  ) Pró-tumoral: -0.451655644640521 ( Cancer associated fibroblast_XCELL(0.451655644640521) ) Dualista: -0.353614862246097 ( Hematopoietic stem cell_XCELL(0.353614862246097) )
hsa-miR-125a-5p	LUAD	Unchanged	NS	character(0), numeric(0), numeric(0), character(0)	pró-tumoral	Anti-tumoral: -0.682871779947576 ( T cell CD4+ memory activated_CIBERSORT(-0.296407224482652), Common lymphoid progenitor_XCELL(-0.386464555464924) ) Pró-tumoral: 0.283005227012292 ( Cancer associated fibroblast_XCELL(0.283005227012292) ) Dualista: -0.123730886614663 ( Hematopoietic stem cell_XCELL(0.326794451115583), T cell CD4+ Th2_XCELL(-0.450525337730246) )
hsa-miR-125a-5p	LUSC	Underexpression	NS	character(0), numeric(0), numeric(0), character(0)	dualista	Anti-tumoral: 0.351603875607059 ( Common lymphoid progenitor_XCELL(-0.351603875607059) ) Pró-tumoral: 0 (  ) Dualista: 0.408476106978369 ( T cell CD4+ Th2_XCELL(-0.408476106978369) )
hsa-miR-125a-5p	OV	Unchanged	NS	character(0), numeric(0), numeric(0), character(0)	pró-tumoral	Anti-tumoral: 0 (  ) Pró-tumoral: 0.368624813624472 ( Cancer associated fibroblast_XCELL(0.368624813624472) ) Dualista: 0 (  )
hsa-miR-125a-5p	STAD	Underexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0.283981964205045 ( Common lymphoid progenitor_XCELL(-0.283981964205045) ) Pró-tumoral: 0 (  ) Dualista: 0.273334134668459 ( T cell CD4+ Th2_XCELL(-0.273334134668459) )
hsa-miR-125a-5p	TGCT	Unchanged	NS	character(0), numeric(0), numeric(0), character(0)	dualista	Anti-tumoral: -0.427250794131982 ( Common lymphoid progenitor_XCELL(-0.427250794131982) ) Pró-tumoral: 0 (  ) Dualista: 0 (  )
hsa-miR-125a-5p	THYM	Unchanged	NS	character(0), numeric(0), numeric(0), character(0)	dualista	Anti-tumoral: 0 (  ) Pró-tumoral: 0 (  ) Dualista: -0.507197273914039 ( T cell CD4+ Th2_XCELL(-0.507197273914039) )
hsa-miR-125b-1-3p	LGG	Unchanged	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0.303541190742378 ( Common lymphoid progenitor_XCELL(0.303541190742378) ) Pró-tumoral: 0 (  ) Dualista: -0.27835684538317 ( T cell CD4+ naive_CIBERSORT(-0.269689527730977), B cell plasma_CIBERSORT(-0.320258868286467), T cell CD4+ memory resting_CIBERSORT(0.311591550634274) )
hsa-miR-125b-1-3p	LIHC	Underexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0 (  ) Pró-tumoral: -0.628566239293863 ( Cancer associated fibroblast_XCELL(0.326693223645554), Endothelial cell_XCELL(0.301873015648309) ) Dualista: -0.392212639181271 ( Hematopoietic stem cell_XCELL(0.392212639181271) )
hsa-miR-125b-1-3p	PRAD	Underexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0.254104224335326 ( T cell CD4+ Th1_XCELL(-0.254104224335326) ) Pró-tumoral: 0 (  ) Dualista: 0 (  )
hsa-miR-125b-1-3p	SKCM	Unchanged	NS	character(0), numeric(0), numeric(0), character(0)	pró-tumoral	Anti-tumoral: 0 (  ) Pró-tumoral: 0.270735094433761 ( Endothelial cell_XCELL(0.270735094433761) ) Dualista: 0 (  )
hsa-miR-125b-1-3p	STAD	Unchanged	NS	character(0), numeric(0), numeric(0), character(0)	pró-tumoral	Anti-tumoral: -0.410704789539807 ( Common lymphoid progenitor_XCELL(-0.410704789539807) ) Pró-tumoral: 0.821646842784538 ( Endothelial cell_XCELL(0.351015255376865), Cancer associated fibroblast_XCELL(0.470631587407673) ) Dualista: 0.397884071695959 ( Hematopoietic stem cell_XCELL(0.397884071695959) )
hsa-miR-125b-2-3p	PRAD	Underexpression	NS	character(0), numeric(0), numeric(0), character(0)	dualista	Anti-tumoral: 0 (  ) Pró-tumoral: -0.261737965602942 ( Cancer associated fibroblast_XCELL(0.261737965602942) ) Dualista: 0 (  )
hsa-miR-125b-5p	BLCA	Underexpression	Variável	Macrophage M2_CIBERSORT, 0.277959283916061, 1, Variable	anti-tumoral	Anti-tumoral: 0.372533090805781 ( Myeloid dendritic cell activated_CIBERSORT(-0.372533090805781) ) Pró-tumoral: -0.849066329380312 ( Cancer associated fibroblast_XCELL(0.571107045464251), Macrophage M2_CIBERSORT(0.277959283916061) ) Dualista: -0.466331107051158 ( Hematopoietic stem cell_XCELL(0.466331107051158) )
hsa-miR-125b-5p	BRCA	Underexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0.313426482783247 ( T cell CD4+ Th1_XCELL(-0.313426482783247) ) Pró-tumoral: -0.671607118611312 ( Cancer associated fibroblast_XCELL(0.418850565174183), Endothelial cell_XCELL(0.252756553437129) ) Dualista: -0.427244048099736 ( Hematopoietic stem cell_XCELL(0.427244048099736) )
hsa-miR-125b-5p	COAD	Underexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0.641320415112462 ( T cell CD4+ Th1_XCELL(-0.320660207556231), T cell CD4+ Th1_XCELL(-0.320660207556231) ) Pró-tumoral: 0 (  ) Dualista: -1.1619419220648 ( Hematopoietic stem cell_XCELL(0.580970961032402), Hematopoietic stem cell_XCELL(0.580970961032402) )
hsa-miR-125b-5p	ESCA	Unchanged	NS	character(0), numeric(0), numeric(0), character(0)	pró-tumoral	Anti-tumoral: 0 (  ) Pró-tumoral: 0.612091647564001 ( Cancer associated fibroblast_XCELL(0.612091647564001) ) Dualista: 0.424139187936149 ( Mast cell activated_CIBERSORT(0.424139187936149) )
hsa-miR-125b-5p	LIHC	Underexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: -0.073842053172414 ( Common lymphoid progenitor_XCELL(-0.354140838426295), Granulocyte-monocyte progenitor_XCELL(0.391061865012502), Common lymphoid progenitor_XCELL(-0.354140838426295), Granulocyte-monocyte progenitor_XCELL(0.391061865012502) ) Pró-tumoral: -0.27088887577124 ( Endothelial cell_XCELL(0.426044350182119), T cell regulatory (Tregs)_CIBERSORT(-0.290599912296499), Endothelial cell_XCELL(0.426044350182119), T cell regulatory (Tregs)_CIBERSORT(-0.290599912296499) ) Dualista: -0.254794044339578 ( T cell CD4+ Th2_XCELL(-0.398912173509947), Hematopoietic stem cell_XCELL(0.526309195679736), T cell CD4+ Th2_XCELL(-0.398912173509947), Hematopoietic stem cell_XCELL(0.526309195679736) )
hsa-miR-125b-5p	LUAD	Unchanged	NS	character(0), numeric(0), numeric(0), character(0)	pró-tumoral	Anti-tumoral: -0.273871149218498 ( Common lymphoid progenitor_XCELL(-0.273871149218498) ) Pró-tumoral: 0.349781101182938 ( Cancer associated fibroblast_XCELL(0.349781101182938) ) Dualista: 0.261390872602485 ( Hematopoietic stem cell_XCELL(0.261390872602485) )
hsa-miR-125b-5p	LUSC	Underexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0.268866363449223 ( Common lymphoid progenitor_XCELL(-0.268866363449223) ) Pró-tumoral: -0.265784292525679 ( Cancer associated fibroblast_XCELL(0.265784292525679) ) Dualista: -0.212597147253438 ( T cell CD4+ Th2_XCELL(-0.320454646027499), Hematopoietic stem cell_XCELL(0.280219786605333), Macrophage M0_CIBERSORT(0.252832006675604) )
hsa-miR-125b-5p	PRAD	Unchanged	NS	character(0), numeric(0), numeric(0), character(0)	pró-tumoral	Anti-tumoral: 0 (  ) Pró-tumoral: 0.31492831141341 ( Cancer associated fibroblast_XCELL(0.31492831141341) ) Dualista: -0.300146559185149 ( T cell CD4+ Th2_XCELL(-0.300146559185149) )
hsa-miR-125b-5p	READ	Underexpression	NS	character(0), numeric(0), numeric(0), character(0)	dualista	Anti-tumoral: 0 (  ) Pró-tumoral: 0 (  ) Dualista: -1.10161775105077 ( Hematopoietic stem cell_XCELL(0.550808875525383), Hematopoietic stem cell_XCELL(0.550808875525383) )
hsa-miR-125b-5p	SKCM	Unchanged	NS	character(0), numeric(0), numeric(0), character(0)	pró-tumoral	Anti-tumoral: -0.286670071113835 ( T cell CD4+ Th1_XCELL(-0.286670071113835) ) Pró-tumoral: 0.279298703377013 ( Endothelial cell_XCELL(0.279298703377013) ) Dualista: 0 (  )
hsa-miR-125b-5p	STAD	Underexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0.808269723196782 ( Common lymphoid progenitor_XCELL(-0.525493223383444), T cell CD4+ Th1_XCELL(-0.282776499813338) ) Pró-tumoral: -1.12635287011948 ( Cancer associated fibroblast_XCELL(0.736971918098472), Endothelial cell_XCELL(0.389380952021011) ) Dualista: -0.750843797479347 ( Mast cell activated_CIBERSORT(0.413110292567754), B cell memory_CIBERSORT(0.281351834732034), Hematopoietic stem cell_XCELL(0.618051842687643), Neutrophil_CIBERSORT(-0.267274241658927), T cell CD4+ Th2_XCELL(-0.294395930849157) )
hsa-miR-125b-5p	THYM	Unchanged	NS	character(0), numeric(0), numeric(0), character(0)	dualista	Anti-tumoral: 0 (  ) Pró-tumoral: 0 (  ) Dualista: 0 (  )
hsa-miR-126-3p	BLCA	Overexpression	NS	character(0), numeric(0), numeric(0), character(0)	pró-tumoral	Anti-tumoral: 0 (  ) Pró-tumoral: 0.29973373919021 ( Endothelial cell_XCELL(0.29973373919021) ) Dualista: 0 (  )
